"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6767.55922942669","8244.04566011433","10056.2613927414","11507.2171509849","12187.5363611898","13233.9905169683","13892.6051427736","14700.9598081521","16055.2877874337","16548.7173868987","16620.9545555513","17750.0095644198","18828.0870594071","19216.1972354472","20681.0230269625","20740.1325828172","21307.2482505267","21949.4859960868","23700.6319899197","24171.8371325422","24845.65848362","26736.3089444046","28171.9094008501","25134.7712303589","24093.1401510626","25712.3843015186","25119.6655449838","25813.5714408438","26129.8390617693","27458.2201537506","27441.5502144601","28440.0416881491","30082.1584226798","30654.4851235397","22664.3709949437","26827.3447869986","31000.5713798732","34897.6183932009","38590.5650288641","",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","186.089514881165","186.909365228821","197.36787649827","225.400455705208","208.963065980073","226.836513295836","240.912196125435","243.77399986481","257.144252415425","281.579363776427","276.733386190782","294.814654215325","311.465573381367","389.729674712988","463.469548850461","479.079597720244","468.775304383329","518.359550068184","571.618271488354","634.449175277502","773.302496295457","777.6292577402","725.548722322091","732.346683664132","650.347927128187","554.222221130921","578.318417094435","664.792922745199","704.143241259139","728.244534303378","822.404371825312","864.175528692201","732.912138733145","709.324717855605","700.7732953765","766.524210648196","746.78858138152","767.400692604526","697.08057901383","670.425331746839","706.728440776917","625.82886019759","630.513380226995","815.433657549659","989.017114690163","1126.29920363201","1235.17087902029","1381.4452514345","1447.42777531825","1408.61565890435","1628.76857300184","1761.83829586572","1731.86909640114","1705.83900348854","1689.98238051624","1498.71597073834","1335.7431649955","1529.92307995549","1553.61794421394","1508.0315245887","1351.50316694933","1560.89462580275","1675.90252377611","1571.13270407815","1628.22728900442","1722.38561960923",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174.930991430166","138.706821676113","178.954088379235","198.871115728727","221.763653873013","254.184249149336","274.218553561575","376.223152003876","381.73323802844","452.053705477043","560.621505463146","606.694676337726","651.417134470046","637.087099117099","625.054941813938","565.569730408751","522.082215583898","525.469770891619","491.337221382603","496.6025042585","510.787063366811","356.496214115892","357.261152798144","413.757894705303","416.871146273728","",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","121.936832429715","127.451039943698","133.823783489337","139.004980086033","148.551510474249","155.587905462706","162.172975137283","145.046759038793","146.345421077107","162.083035227276","218.842959502359","196.013807534283","230.250571421405","280.866692944744","368.588335603968","413.697038224725","480.833407101323","491.235598667596","524.205300336915","625.377991903506","763.633222562531","1329.87864847601","1165.24870867511","874.938007279736","739.489771475725","755.925041737799","583.666693671393","584.103649735645","563.879072074372","513.173056234633","593.83151352357","608.66899836783","567.92629883876","575.281709114721","580.801466185621","867.818658269009","1070.83624374512","1093.0671762104","1142.84454396881","524.453105656825","519.642599510731","533.677179675639","620.160708220684","698.41059773746","839.345851531298","1001.134464675","1236.31604057497","1407.72881703262","1668.61565308526","1455.22391926317","1664.49204549878","1846.10292552744","1943.37255535786","2134.24752369303","2224.32958643376","1863.40151301991","1632.42497788744","1577.20349674013","1723.11446346681","2219.41255534667","2034.43793971923","2116.9382941844","2143.07209365676","1846.24681069313","1416.22841156776","1600.05837434388",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","729.111965489818","657.982648547394","634.221467312778","636.83281102292","650.491094413218","772.468832586262","697.52660239925","770.10114008645","807.439628386237","907.747893072933","965.866840464665","881.919488130062","668.706017459877","449.727894936295","334.973590276074","404.29481849612","531.115366543271","521.70291489053","429.188126933192","392.725539027496","563.733795571487","533.586202412447","999.065855956628","1133.66331960414","1451.47117870872","2145.88621098663","2930.44428606516","3515.05678985496","4578.15526451058","3645.14846565169","4101.63715564669","5184.15269151846","5702.45306277434","5688.57916213471","5649.68762467535","3641.72893920253","2082.37343594705","2832.14997950512","2891.83032378747","2507.86807213642","1749.1794838482","2266.96834861584","3598.53669077341","2885.51349130806","2720.81900669715","3129.47662331063",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","590.607738430529","663.2942082544","668.454504242454","661.546782448624","639.484730161417","639.865903755552","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416135130865","911.320465445326","1020.97618050188","728.545523729675","831.175344077295","1056.34481153033","1160.42047054038","1326.41652388077","1479.83884572006","1908.69900687608","2446.90949947798","2741.72136549578","3057.77257038113","3743.05529896187","4498.50486763601","4213.65007574693","4149.14469936847","4465.70914328865","4280.93316338873","4542.92903556739","4793.59751131525","4199.53912925398","4457.63412207495","5006.36012951959","5897.65452588774","6069.43903131027","6027.91350716348","7242.45513146613","7756.96188744253","9740.7023414631","11374.0085781236","12998.147869552",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3935.41127779609","4169.69537103885","4940.29696239207","6151.02717030722","7139.5745119838","7925.41577090452","7721.28858646797","8167.92286159334","9409.50851272793","11996.4072860354","12474.9252919904","10465.2604643624","9697.52201994133","8082.09152017435","7808.13002713549","7911.98436223964","10539.1177869653","12828.1519430152","14599.0355178798","15714.9265516576","19563.6574722488","19533.2620668023","20099.5352208543","15916.8395162087","15748.5307503373","18443.2545197741","19130.1597151312","18247.9995651361","18536.5084282698","18875.2869134938","21810.2487426174","23511.2951466328","26528.1301571494","34063.5784040571","39021.1278078772","40829.801878928","43467.210990395","48336.2283340364","49132.5157047203","43975.0183658196","42746.830952263","46657.1561204071","41500.5435782722","42470.3161158563","44369.6596894579","38654.9347217207","40129.8192026671","40672.9943362327","42819.774579353","41257.8045861543","37361.090067211","42425.6996761083","42414.0590111349","46812.448450114","49357.437070178","54291.5026031052",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","212.904077957274","210.819688258812","225.815918956392","243.913946117719","256.197486658733","263.968711194813","276.951725344184","307.557624001515","329.453728084893","357.718964213401","402.822307878809","470.227429575094","602.507540554094","1125.04298783644","1205.55545155929","1458.24312176101","1630.46941328609","1728.32241737205","2251.65780045901","2954.3040924934","2911.18187901911","2640.78244926857","2417.45335889985","2358.21631644132","2247.904750665","2042.47838250205","2108.46557162979","2041.96127119429","2117.69361013073","2875.13052297717","2048.70583682981","1996.28830839149","1987.7533220326","2018.66808626545","2080.99805208098","2193.85954411939","2305.60949452905","2192.58945184653","2378.91256945477","2664.12544702947","2536.15266480025","2483.50270297478","2696.67250919404","3133.70136960221","3750.69817199291","4355.05761532494","4940.70153714799","6100.53937632387","5142.65633137166","5957.50539498481","6924.20289420703","7392.55638357541","7384.79221541888","7347.6211570264","6299.87807685552","6051.26103619544","6105.92161804571","6708.53121256784","6683.67016877686","5749.75163256627","6708.20761928893","7960.81158770821","7504.35637695627","7602.41115691284","7544.41435641482",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","2394.06811471055","2805.42642722587","3675.41681419534","9695.81418807304","23822.9715560307","27117.1912424652","31197.0663668344","35020.1986905139","29379.0712926859","34238.1739475153","42925.208420888","44854.5234553512","39972.4918171729","34650.0446364828","32012.2967090452","29467.5280764905","23132.0442453994","23112.5558111632","21569.6710149303","23166.7140459133","26709.9567949611","25690.9151233865","25648.2807476605","25032.8269272198","25472.6470660889","27003.1753753727","28323.1586889615","27982.752550093","24889.4426807231","25855.8379155488","29865.5285002232","27745.1684523079","27753.5810466782","29659.5710296993","33376.6880534412","38719.3138285388","44342.603055045","45854.7352436978","50054.1700685968","37803.0663737818","44795.2846234991","51921.8890746408","53141.6251661086","53247.2278745159","52725.2307981936","44910.3458860776","42721.1136110991","43733.6242018215","47135.3478795605","45938.6084572227","37991.738387966","44118.4936214315","50759.7590190204","49850.6945082084","50273.5126243239","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","778.251706763404","971.338043308372","870.217490905403","852.972425139433","1176.20086190313","1281.83337976859","1275.07843418966","1063.93283833587","1141.95211617341","1329.56181832409","1322.71454216808","1372.50746646061","1409.37097316211","2097.89945010806","2844.96990526761","2026.68435752865","1946.91990388248","2126.48546048047","3282.06304446289","2511.97332905958","2747.5022751674","2764.08641421079","2914.76708504176","3537.7473459832","3915.03492645691","2905.77565536137","3436.07819471053","3477.30131979313","3992.70330179156","2374.57321551641","4315.33403111588","5709.24784079504","6789.99611136495","6931.85596375876","7437.56242327594","7357.6162773788","7663.21271287469","8146.78710021431","8218.99212764682","7705.54288252851","7637.01489203628","7141.47507662826","2569.69963519124","3320.47775133903","4242.02099089422","5067.65342293276","5869.38028970204","7185.25155147027","8944.1102657357","8150.23527028221","10260.1313108254","12704.2831819684","12949.717486654","12963.675773326","12233.1444119186","13679.6264980954","12699.9623137756","14532.5009308511","11752.7998922979","9955.97478680428","8535.59938004389","10738.0179223384","13962.1894087223","14261.8465667948","13969.7836603737","14898.0885943842",
